Dataload done! 48.5982666015625
sample_PAP 47000000th iter... 271.68213272094727
sample_PAP 46000000th iter... 272.35300302505493
sample_PAP 41000000th iter... 274.13217973709106
sample_PAP 40000000th iter... 274.41169118881226
sample_PAP 42000000th iter... 274.5541753768921
sample_PAP 44000000th iter... 274.9093794822693
sample_PAP 39000000th iter... 275.5239026546478
sample_PAP 37000000th iter... 275.66290974617004
sample_PAP 36000000th iter... 275.8037087917328
sample_PAP 45000000th iter... 276.09660172462463
sample_PAP 34000000th iter... 276.1853802204132
sample_PAP 32000000th iter... 276.8732852935791
sample_PAP 29000000th iter... 277.60912251472473
sample_PAP 28000000th iter... 277.6129105091095
sample_PAP 27000000th iter... 277.68995666503906
sample_PAP 33000000th iter... 278.0449409484863
sample_PAP 25000000th iter... 278.99036264419556
sample_PAP 31000000th iter... 279.3035011291504
sample_PAP 24000000th iter... 279.44502902030945
sample_PAP 26000000th iter... 279.65900588035583
sample_PAP 23000000th iter... 280.1166799068451
sample_PAP 38000000th iter... 280.12430810928345
sample_PAP 35000000th iter... 280.33650398254395
sample_PAP 19000000th iter... 280.83959221839905
sample_PAP 18000000th iter... 280.85120487213135
sample_PAP 21000000th iter... 280.8764669895172
sample_PAP 20000000th iter... 281.0140290260315
sample_PAP 43000000th iter... 281.0512533187866
sample_PAP 17000000th iter... 281.54749822616577
sample_PAP 22000000th iter... 281.7246685028076
sample_PAP 30000000th iter... 282.6978328227997
sample_PAP 13000000th iter... 282.8631103038788
sample_PAP 10000000th iter... 283.545037984848
sample_PAP 16000000th iter... 284.21909976005554
sample_PAP 14000000th iter... 284.2403054237366
sample_PAP 15000000th iter... 284.3009705543518
sample_PAP 6000000th iter... 286.1214954853058
sample_PAP 7000000th iter... 286.13845896720886
sample_PAP 12000000th iter... 286.599485874176
sample_PAP 5000000th iter... 286.8168683052063
sample_PAP 4000000th iter... 286.8876848220825
sample_PAP 11000000th iter... 287.6813051700592
sample_PAP 1000000th iter... 288.08641052246094
sample_PAP 9000000th iter... 288.6388761997223
sample_PAP 2000000th iter... 289.7582516670227
sample_PAP 3000000th iter... 290.72545170783997
sample_PAP 8000000th iter... 290.8322138786316
sample_PAP 0th iter... 291.6591258049011
sample_PAP 49000000th iter... 496.5409116744995
sample_PAP 53000000th iter... 500.01587986946106
sample_PAP 50000000th iter... 500.2366027832031
sample_PAP 48000000th iter... 500.38660860061646
sample_PAP 51000000th iter... 500.5687029361725
sample_PAP 52000000th iter... 500.75745677948
sample_PAP 57000000th iter... 501.07412672042847
sample_PAP 54000000th iter... 501.9654891490936
sample_PAP 56000000th iter... 503.09755754470825
sample_PAP 63000000th iter... 504.6957173347473
sample_PAP 59000000th iter... 505.40624833106995
sample_PAP 62000000th iter... 505.5790431499481
sample_PAP 74000000th iter... 506.0897228717804
sample_PAP 68000000th iter... 506.3086881637573
sample_PAP 55000000th iter... 506.61661100387573
sample_PAP 60000000th iter... 506.6839396953583
sample_PAP 70000000th iter... 507.9117600917816
sample_PAP 64000000th iter... 509.4408595561981
sample_PAP 58000000th iter... 510.2085702419281
sample_PAP 61000000th iter... 510.59684658050537
sample_PAP 66000000th iter... 511.1302900314331
sample_PAP 67000000th iter... 511.2247197628021
sample_PAP 75000000th iter... 511.38546562194824
sample_PAP 77000000th iter... 511.4106945991516
sample_PAP 71000000th iter... 511.9645571708679
sample_PAP 73000000th iter... 512.7271735668182
sample_PAP 69000000th iter... 513.1894128322601
sample_PAP 78000000th iter... 514.2343237400055
sample_PAP 76000000th iter... 515.0578572750092
sample_PAP 65000000th iter... 515.5199663639069
sample_PAP 72000000th iter... 515.5956416130066
sample_PAP 81000000th iter... 517.0255091190338
sample_PAP 83000000th iter... 519.2667582035065
sample_PAP 79000000th iter... 520.730637550354
sample_PAP 80000000th iter... 520.881370306015
sample_PAP 89000000th iter... 522.8240354061127
sample_PAP 82000000th iter... 522.9968736171722
sample_PAP 85000000th iter... 523.1378729343414
sample_PAP 86000000th iter... 523.4225981235504
sample_PAP 92000000th iter... 523.9993376731873
sample_PAP 88000000th iter... 524.2215552330017
sample_PAP 91000000th iter... 524.9258303642273
sample_PAP 84000000th iter... 527.2629268169403
sample_PAP 87000000th iter... 527.3579576015472
sample_PAP 90000000th iter... 527.4983942508698
sample_PAP 93000000th iter... 530.7161445617676
sample_PAP 95000000th iter... 532.8207049369812
sample_PAP 94000000th iter... 532.8478827476501
sample_PAP 121000000th iter... 685.6161830425262
sample_PAP 96000000th iter... 717.9376540184021
sample_PAP 97000000th iter... 720.5576791763306
sample_PAP 100000000th iter... 722.663836479187
