Dataload done! 48.928656339645386
sample_PAI 47000000th iter... 640.9449281692505
sample_PAI 46000000th iter... 641.3304166793823
sample_PAI 44000000th iter... 648.2835631370544
sample_PAI 41000000th iter... 650.5470063686371
sample_PAI 42000000th iter... 651.0309507846832
sample_PAI 43000000th iter... 651.5214297771454
sample_PAI 45000000th iter... 654.0866720676422
sample_PAI 40000000th iter... 654.3322007656097
sample_PAI 39000000th iter... 655.8261706829071
sample_PAI 38000000th iter... 658.1165521144867
sample_PAI 34000000th iter... 661.5830647945404
sample_PAI 33000000th iter... 663.2913076877594
sample_PAI 31000000th iter... 663.5211048126221
sample_PAI 32000000th iter... 668.3326292037964
sample_PAI 37000000th iter... 668.3390378952026
sample_PAI 30000000th iter... 668.9458193778992
sample_PAI 35000000th iter... 669.6710035800934
sample_PAI 28000000th iter... 670.5251467227936
sample_PAI 29000000th iter... 671.0075099468231
sample_PAI 25000000th iter... 671.8735041618347
sample_PAI 26000000th iter... 672.8685925006866
sample_PAI 27000000th iter... 676.9663050174713
sample_PAI 24000000th iter... 677.0461161136627
sample_PAI 36000000th iter... 678.3855817317963
sample_PAI 22000000th iter... 679.1338438987732
sample_PAI 20000000th iter... 682.3890545368195
sample_PAI 21000000th iter... 683.3144881725311
sample_PAI 23000000th iter... 683.3412179946899
sample_PAI 19000000th iter... 684.29629945755
sample_PAI 18000000th iter... 687.1211204528809
sample_PAI 16000000th iter... 688.5169069766998
sample_PAI 17000000th iter... 690.3769733905792
sample_PAI 14000000th iter... 693.0057318210602
sample_PAI 15000000th iter... 693.726152420044
sample_PAI 13000000th iter... 695.4885675907135
sample_PAI 12000000th iter... 698.5160903930664
sample_PAI 11000000th iter... 699.4988973140717
sample_PAI 10000000th iter... 700.7454543113708
sample_PAI 8000000th iter... 704.6081483364105
sample_PAI 9000000th iter... 705.6262578964233
sample_PAI 7000000th iter... 708.3908715248108
sample_PAI 6000000th iter... 711.2081913948059
sample_PAI 5000000th iter... 716.739884853363
sample_PAI 4000000th iter... 716.9855296611786
sample_PAI 3000000th iter... 717.4190855026245
sample_PAI 2000000th iter... 720.6478612422943
sample_PAI 1000000th iter... 724.5004885196686
sample_PAI 0th iter... 730.5629751682281
sample_PAI 48000000th iter... 1235.5860681533813
sample_PAI 49000000th iter... 1241.3737773895264
sample_PAI 50000000th iter... 1252.1984236240387
sample_PAI 54000000th iter... 1255.124941110611
sample_PAI 53000000th iter... 1255.5369367599487
sample_PAI 52000000th iter... 1257.265071630478
sample_PAI 51000000th iter... 1258.947406053543
sample_PAI 55000000th iter... 1262.3160829544067
sample_PAI 57000000th iter... 1266.493689775467
sample_PAI 56000000th iter... 1271.229790687561
sample_PAI 59000000th iter... 1278.4531254768372
sample_PAI 64000000th iter... 1283.2406740188599
sample_PAI 62000000th iter... 1283.9754784107208
sample_PAI 58000000th iter... 1284.1778376102448
sample_PAI 60000000th iter... 1285.7506339550018
sample_PAI 61000000th iter... 1289.3189396858215
sample_PAI 71000000th iter... 1293.8356261253357
sample_PAI 66000000th iter... 1294.3935134410858
sample_PAI 63000000th iter... 1298.6580474376678
sample_PAI 65000000th iter... 1300.8637018203735
sample_PAI 70000000th iter... 1300.9833760261536
sample_PAI 67000000th iter... 1301.1087672710419
sample_PAI 69000000th iter... 1302.852903842926
sample_PAI 68000000th iter... 1306.3985452651978
sample_PAI 73000000th iter... 1306.7201054096222
sample_PAI 72000000th iter... 1313.8420221805573
sample_PAI 75000000th iter... 1319.7704100608826
sample_PAI 76000000th iter... 1320.352808713913
sample_PAI 74000000th iter... 1323.5652465820312
sample_PAI 77000000th iter... 1327.1342039108276
sample_PAI 81000000th iter... 1330.0245065689087
sample_PAI 79000000th iter... 1330.1505715847015
sample_PAI 78000000th iter... 1334.5416169166565
sample_PAI 80000000th iter... 1340.5394926071167
sample_PAI 82000000th iter... 1343.4704110622406
sample_PAI 83000000th iter... 1350.4136219024658
sample_PAI 84000000th iter... 1352.1198284626007
sample_PAI 85000000th iter... 1352.9921748638153
sample_PAI 87000000th iter... 1362.963304758072
sample_PAI 86000000th iter... 1363.4190940856934
sample_PAI 88000000th iter... 1369.0918281078339
