Test visit flag update. Current non-zero entries : 0
Test visit flag 0/143th batch | time : 93.48 | Nonzero : 1131817
Test visit flag 10/143th batch | time : 122.92 | Nonzero : 2905238
Test visit flag 20/143th batch | time : 152.49 | Nonzero : 4306150
Test visit flag update. Current non-zero entries : 0
2nd sample | row<col : 169839, row>=col : 125452 | sample size : [24296, 320586]
2nd sample | row<col : 170421, row>=col : 130264 | sample size : [24695, 325741]
1st sample | row<col : 6, row>=col : 21022 | sample size : [1024, 24296]
2nd sample | row<col : 178660, row>=col : 127155 | sample size : [24978, 331036]
1st sample | row<col : 5, row>=col : 21379 | sample size : [1024, 24695]
2nd sample | row<col : 183667, row>=col : 130444 | sample size : [25555, 340420]
1st sample | row<col : 3, row>=col : 21726 | sample size : [1024, 24978]
1st sample | row<col : 6, row>=col : 22110 | sample size : [1024, 25555]
Test visit flag 0/143th batch | time : 68.12 | Nonzero : 1131817
2nd sample | row<col : 174690, row>=col : 131850 | sample size : [25220, 332521]
1st sample | row<col : 5, row>=col : 21780 | sample size : [1024, 25220]
2nd sample | row<col : 171924, row>=col : 126131 | sample size : [24318, 320299]
2nd sample | row<col : 180950, row>=col : 132704 | sample size : [25429, 340224]
1st sample | row<col : 7, row>=col : 21268 | sample size : [1024, 24318]
1st sample | row<col : 10, row>=col : 22407 | sample size : [1024, 25429]
2nd sample | row<col : 179784, row>=col : 135407 | sample size : [25699, 339336]
1st sample | row<col : 7, row>=col : 22426 | sample size : [1024, 25699]
2nd sample | row<col : 177570, row>=col : 129792 | sample size : [25172, 334580]
1st sample | row<col : 5, row>=col : 21949 | sample size : [1024, 25172]
2nd sample | row<col : 181812, row>=col : 133826 | sample size : [25548, 342608]
1st sample | row<col : 6, row>=col : 22061 | sample size : [1024, 25548]
2nd sample | row<col : 171715, row>=col : 126745 | sample size : [24525, 325754]
1st sample | row<col : 10, row>=col : 21414 | sample size : [1024, 24525]
2nd sample | row<col : 174164, row>=col : 127967 | sample size : [24724, 329774]
1st sample | row<col : 5, row>=col : 21184 | sample size : [1024, 24724]
2nd sample | row<col : 170694, row>=col : 124526 | sample size : [24360, 323656]
Test visit flag 10/143th batch | time : 113.65 | Nonzero : 2742515
1st sample | row<col : 9, row>=col : 20847 | sample size : [1024, 24360]
2nd sample | row<col : 179214, row>=col : 131726 | sample size : [25299, 336193]
1st sample | row<col : 5, row>=col : 22012 | sample size : [1024, 25299]
2nd sample | row<col : 180380, row>=col : 133356 | sample size : [25387, 337786]
1st sample | row<col : 6, row>=col : 22393 | sample size : [1024, 25387]
2nd sample | row<col : 174494, row>=col : 127634 | sample size : [24747, 326781]
1st sample | row<col : 7, row>=col : 21463 | sample size : [1024, 24747]
2nd sample | row<col : 179635, row>=col : 129319 | sample size : [24969, 331702]
1st sample | row<col : 10, row>=col : 21908 | sample size : [1024, 24969]
2nd sample | row<col : 171681, row>=col : 130201 | sample size : [24887, 329144]
1st sample | row<col : 5, row>=col : 21382 | sample size : [1024, 24887]
2nd sample | row<col : 175662, row>=col : 126492 | sample size : [24626, 325084]
1st sample | row<col : 7, row>=col : 21595 | sample size : [1024, 24626]
2nd sample | row<col : 176881, row>=col : 124893 | sample size : [24806, 329868]
1st sample | row<col : 7, row>=col : 21275 | sample size : [1024, 24806]
2nd sample | row<col : 178787, row>=col : 131642 | sample size : [25274, 332196]
1st sample | row<col : 3, row>=col : 22350 | sample size : [1024, 25274]
2nd sample | row<col : 167206, row>=col : 126122 | sample size : [24182, 319068]
1st sample | row<col : 6, row>=col : 20874 | sample size : [1024, 24182]
Test visit flag 20/143th batch | time : 158.99 | Nonzero : 4209320
2nd sample | row<col : 176301, row>=col : 126294 | sample size : [24844, 327484]
1st sample | row<col : 6, row>=col : 21565 | sample size : [1024, 24844]
2nd sample | row<col : 179093, row>=col : 125494 | sample size : [24949, 330766]
1st sample | row<col : 6, row>=col : 21731 | sample size : [1024, 24949]
2nd sample | row<col : 173057, row>=col : 130785 | sample size : [24908, 327834]
1st sample | row<col : 12, row>=col : 21538 | sample size : [1024, 24908]
2nd sample | row<col : 176060, row>=col : 126518 | sample size : [24853, 330493]
2nd sample | row<col : 175224, row>=col : 127016 | sample size : [24793, 327913]
1st sample | row<col : 5, row>=col : 21506 | sample size : [1024, 24793]
1st sample | row<col : 7, row>=col : 21383 | sample size : [1024, 24853]
2nd sample | row<col : 168363, row>=col : 126721 | sample size : [24252, 319101]
1st sample | row<col : 8, row>=col : 21024 | sample size : [1024, 24252]
2nd sample | row<col : 173162, row>=col : 129056 | sample size : [24826, 330130]
1st sample | row<col : 5, row>=col : 21369 | sample size : [1024, 24826]
2nd sample | row<col : 170788, row>=col : 124677 | sample size : [24388, 322143]
1st sample | row<col : 7, row>=col : 21065 | sample size : [1024, 24388]
2nd sample | row<col : 176665, row>=col : 127212 | sample size : [24781, 327829]
1st sample | row<col : 4, row>=col : 21635 | sample size : [1024, 24781]
2nd sample | row<col : 174494, row>=col : 130374 | sample size : [24918, 332372]
1st sample | row<col : 5, row>=col : 21690 | sample size : [1024, 24918]
2nd sample | row<col : 169681, row>=col : 123493 | sample size : [24216, 322740]
Test visit flag 30/143th batch | time : 207.82 | Nonzero : 5377992
1st sample | row<col : 9, row>=col : 20883 | sample size : [1024, 24216]
2nd sample | row<col : 175325, row>=col : 128079 | sample size : [24926, 328890]
1st sample | row<col : 3, row>=col : 21815 | sample size : [1024, 24926]
2nd sample | row<col : 173210, row>=col : 129196 | sample size : [24654, 325868]
1st sample | row<col : 8, row>=col : 21463 | sample size : [1024, 24654]
2nd sample | row<col : 178396, row>=col : 130296 | sample size : [25125, 331338]
1st sample | row<col : 8, row>=col : 22024 | sample size : [1024, 25125]
2nd sample | row<col : 171869, row>=col : 127540 | sample size : [24534, 328285]
1st sample | row<col : 8, row>=col : 20973 | sample size : [1024, 24534]
2nd sample | row<col : 169860, row>=col : 121824 | sample size : [24013, 314805]
1st sample | row<col : 7, row>=col : 21007 | sample size : [1024, 24013]
2nd sample | row<col : 176002, row>=col : 126677 | sample size : [24770, 328951]
1st sample | row<col : 8, row>=col : 21446 | sample size : [1024, 24770]
2nd sample | row<col : 179951, row>=col : 129725 | sample size : [25315, 335038]
1st sample | row<col : 5, row>=col : 22171 | sample size : [1024, 25315]
2nd sample | row<col : 175355, row>=col : 130705 | sample size : [24815, 328920]
1st sample | row<col : 5, row>=col : 21586 | sample size : [1024, 24815]
2nd sample | row<col : 176272, row>=col : 129552 | sample size : [24930, 331196]
1st sample | row<col : 12, row>=col : 21627 | sample size : [1024, 24930]
Test visit flag 40/143th batch | time : 253.26 | Nonzero : 6365029
2nd sample | row<col : 171872, row>=col : 125246 | sample size : [24326, 320676]
1st sample | row<col : 4, row>=col : 21069 | sample size : [1024, 24326]
2nd sample | row<col : 175365, row>=col : 129428 | sample size : [24912, 327160]
1st sample | row<col : 3, row>=col : 21587 | sample size : [1024, 24912]
2nd sample | row<col : 174667, row>=col : 125347 | sample size : [24600, 326893]
1st sample | row<col : 6, row>=col : 21241 | sample size : [1024, 24600]
2nd sample | row<col : 175766, row>=col : 131264 | sample size : [25049, 331014]
1st sample | row<col : 8, row>=col : 21845 | sample size : [1024, 25049]
2nd sample | row<col : 172610, row>=col : 128555 | sample size : [24699, 326536]
1st sample | row<col : 8, row>=col : 21275 | sample size : [1024, 24699]
2nd sample | row<col : 176898, row>=col : 129337 | sample size : [25090, 332023]
1st sample | row<col : 1, row>=col : 21577 | sample size : [1024, 25090]
2nd sample | row<col : 177814, row>=col : 127556 | sample size : [24983, 333900]
1st sample | row<col : 8, row>=col : 21683 | sample size : [1024, 24983]
2nd sample | row<col : 175437, row>=col : 131667 | sample size : [25118, 328479]
1st sample | row<col : 4, row>=col : 21825 | sample size : [1024, 25118]
2nd sample | row<col : 170730, row>=col : 124710 | sample size : [24304, 320763]
1st sample | row<col : 6, row>=col : 20955 | sample size : [1024, 24304]
2nd sample | row<col : 174891, row>=col : 132537 | sample size : [25109, 334940]
Test visit flag 50/143th batch | time : 298.99 | Nonzero : 7159256
2nd sample | row<col : 171685, row>=col : 125677 | sample size : [24445, 325898]
1st sample | row<col : 9, row>=col : 21801 | sample size : [1024, 25109]
1st sample | row<col : 5, row>=col : 21019 | sample size : [1024, 24445]
2nd sample | row<col : 170750, row>=col : 125658 | sample size : [24463, 324075]
1st sample | row<col : 6, row>=col : 21017 | sample size : [1024, 24463]
2nd sample | row<col : 175504, row>=col : 127124 | sample size : [24808, 328446]
1st sample | row<col : 5, row>=col : 21462 | sample size : [1024, 24808]
2nd sample | row<col : 178210, row>=col : 133917 | sample size : [25417, 334746]
1st sample | row<col : 6, row>=col : 22270 | sample size : [1024, 25417]
2nd sample | row<col : 175348, row>=col : 130820 | sample size : [24937, 329307]
1st sample | row<col : 6, row>=col : 21607 | sample size : [1024, 24937]
2nd sample | row<col : 168447, row>=col : 122048 | sample size : [23906, 317811]
1st sample | row<col : 5, row>=col : 20569 | sample size : [1024, 23906]
2nd sample | row<col : 169213, row>=col : 125515 | sample size : [24195, 320059]
1st sample | row<col : 13, row>=col : 20987 | sample size : [1024, 24195]
2nd sample | row<col : 173822, row>=col : 128045 | sample size : [24696, 327258]
1st sample | row<col : 9, row>=col : 21454 | sample size : [1024, 24696]
2nd sample | row<col : 180025, row>=col : 130619 | sample size : [25309, 335736]
1st sample | row<col : 8, row>=col : 22016 | sample size : [1024, 25309]
2nd sample | row<col : 176493, row>=col : 129160 | sample size : [24987, 328655]
1st sample | row<col : 5, row>=col : 21814 | sample size : [1024, 24987]
Test visit flag 60/143th batch | time : 344.79 | Nonzero : 7950537
2nd sample | row<col : 171478, row>=col : 124915 | sample size : [24382, 321331]
1st sample | row<col : 9, row>=col : 21238 | sample size : [1024, 24382]
2nd sample | row<col : 175928, row>=col : 130324 | sample size : [25022, 331194]
1st sample | row<col : 10, row>=col : 21700 | sample size : [1024, 25022]
2nd sample | row<col : 182275, row>=col : 132175 | sample size : [25652, 341726]
1st sample | row<col : 11, row>=col : 22281 | sample size : [1024, 25652]
2nd sample | row<col : 170708, row>=col : 125161 | sample size : [24311, 324610]
1st sample | row<col : 6, row>=col : 21112 | sample size : [1024, 24311]
2nd sample | row<col : 174839, row>=col : 130260 | sample size : [24917, 331546]
1st sample | row<col : 6, row>=col : 21481 | sample size : [1024, 24917]
2nd sample | row<col : 179593, row>=col : 129388 | sample size : [25407, 338628]
1st sample | row<col : 8, row>=col : 21872 | sample size : [1024, 25407]
2nd sample | row<col : 173549, row>=col : 127490 | sample size : [24660, 326831]
1st sample | row<col : 7, row>=col : 21332 | sample size : [1024, 24660]
2nd sample | row<col : 175765, row>=col : 131688 | sample size : [25109, 330900]
1st sample | row<col : 5, row>=col : 21805 | sample size : [1024, 25109]
2nd sample | row<col : 175966, row>=col : 132926 | sample size : [25213, 336996]
1st sample | row<col : 12, row>=col : 21887 | sample size : [1024, 25213]
2nd sample | row<col : 172713, row>=col : 128002 | sample size : [24730, 325651]
1st sample | row<col : 7, row>=col : 21361 | sample size : [1024, 24730]
Test visit flag 70/143th batch | time : 390.70 | Nonzero : 8733566
2nd sample | row<col : 172438, row>=col : 128123 | sample size : [24668, 327755]
1st sample | row<col : 6, row>=col : 21444 | sample size : [1024, 24668]
2nd sample | row<col : 171114, row>=col : 125994 | sample size : [24386, 324025]
1st sample | row<col : 3, row>=col : 21048 | sample size : [1024, 24386]
2nd sample | row<col : 176351, row>=col : 130019 | sample size : [25006, 330366]
1st sample | row<col : 10, row>=col : 21790 | sample size : [1024, 25006]
2nd sample | row<col : 174063, row>=col : 131061 | sample size : [24798, 328441]
1st sample | row<col : 5, row>=col : 21563 | sample size : [1024, 24798]
2nd sample | row<col : 175696, row>=col : 129154 | sample size : [24764, 328357]
1st sample | row<col : 5, row>=col : 21674 | sample size : [1024, 24764]
2nd sample | row<col : 172896, row>=col : 132013 | sample size : [24989, 329994]
1st sample | row<col : 6, row>=col : 21624 | sample size : [1024, 24989]
2nd sample | row<col : 183466, row>=col : 137538 | sample size : [26114, 344888]
1st sample | row<col : 6, row>=col : 22709 | sample size : [1024, 26114]
2nd sample | row<col : 171071, row>=col : 126787 | sample size : [24557, 324825]
1st sample | row<col : 9, row>=col : 20994 | sample size : [1024, 24557]
2nd sample | row<col : 175712, row>=col : 125076 | sample size : [24705, 328578]
1st sample | row<col : 8, row>=col : 21341 | sample size : [1024, 24705]
2nd sample | row<col : 170538, row>=col : 122592 | sample size : [24083, 320304]
1st sample | row<col : 7, row>=col : 20618 | sample size : [1024, 24083]
Test visit flag 80/143th batch | time : 439.62 | Nonzero : 9387613
2nd sample | row<col : 179525, row>=col : 127793 | sample size : [25079, 331835]
1st sample | row<col : 7, row>=col : 21820 | sample size : [1024, 25079]
2nd sample | row<col : 174089, row>=col : 126841 | sample size : [24699, 326275]
1st sample | row<col : 7, row>=col : 21389 | sample size : [1024, 24699]
2nd sample | row<col : 180481, row>=col : 133329 | sample size : [25707, 341524]
1st sample | row<col : 8, row>=col : 22341 | sample size : [1024, 25707]
2nd sample | row<col : 179031, row>=col : 130561 | sample size : [25286, 338965]
1st sample | row<col : 5, row>=col : 21851 | sample size : [1024, 25286]
2nd sample | row<col : 178122, row>=col : 131171 | sample size : [25148, 334813]
1st sample | row<col : 5, row>=col : 21855 | sample size : [1024, 25148]
2nd sample | row<col : 167960, row>=col : 128904 | sample size : [24426, 320699]
