val_loss : 1064.5806884765625 | time : 10.145676136016846 | batch : 0
Validation Epoch end... Loss : 0.0018331249690598055
train_loss : 1021.66748046875 | time : 8.58629822731018 | batch : 0
train_loss : 633.5806884765625 | time : 9.133851528167725 | batch : 100
train_loss : 399.9428405761719 | time : 8.308315515518188 | batch : 200
train_loss : 275.78662109375 | time : 7.562761545181274 | batch : 300
train_loss : 202.6654052734375 | time : 7.366835832595825 | batch : 400
train_loss : 156.62368774414062 | time : 8.960543870925903 | batch : 500
train_loss : 127.83021545410156 | time : 7.299000263214111 | batch : 600
train_loss : 105.91793060302734 | time : 8.307880163192749 | batch : 700
train_loss : 89.71692657470703 | time : 7.607669115066528 | batch : 800
train_loss : 78.16943359375 | time : 8.123982906341553 | batch : 900
train_loss : 68.52999877929688 | time : 8.41371488571167 | batch : 1000
train_loss : 61.794586181640625 | time : 8.07685136795044 | batch : 1100
train_loss : 54.37272644042969 | time : 8.0579674243927 | batch : 1200
train_loss : 49.17831802368164 | time : 8.50219202041626 | batch : 1300
train_loss : 44.55673599243164 | time : 7.684404611587524 | batch : 1400
train_loss : 40.8071174621582 | time : 7.502490520477295 | batch : 1500
train_loss : 37.23670959472656 | time : 8.531747579574585 | batch : 1600
train_loss : 34.226444244384766 | time : 7.552366018295288 | batch : 1700
train_loss : 31.86924934387207 | time : 8.63299560546875 | batch : 1800
train_loss : 29.47003936767578 | time : 8.14797592163086 | batch : 1900
train_loss : 28.157974243164062 | time : 7.826817035675049 | batch : 2000
train_loss : 26.250551223754883 | time : 7.500725269317627 | batch : 2100
Train Epoch end... Loss : 0.0003358873432272476
val_loss : 0.06664682179689407 | time : 11.530033826828003 | batch : 0
val_loss : 0.06407153606414795 | time : 10.448380947113037 | batch : 50
val_loss : 0.06365691125392914 | time : 10.338940858840942 | batch : 100
val_loss : 0.06548622250556946 | time : 10.387835025787354 | batch : 150
val_loss : 0.05924255773425102 | time : 10.032372951507568 | batch : 200
val_loss : 0.06535737961530685 | time : 10.604450941085815 | batch : 250
Validation Epoch end... Loss : 1.0866231260396705e-07
train_loss : 25.256023406982422 | time : 9.5120370388031 | batch : 0
train_loss : 23.771728515625 | time : 9.526492357254028 | batch : 100
train_loss : 22.514087677001953 | time : 8.184112310409546 | batch : 200
train_loss : 21.57292938232422 | time : 8.336363315582275 | batch : 300
train_loss : 20.41063690185547 | time : 8.425060987472534 | batch : 400
train_loss : 19.394773483276367 | time : 8.443293571472168 | batch : 500
train_loss : 18.41177749633789 | time : 9.553675174713135 | batch : 600
train_loss : 17.70391082763672 | time : 8.146844387054443 | batch : 700
train_loss : 17.04814910888672 | time : 7.319749116897583 | batch : 800
train_loss : 16.217348098754883 | time : 8.045410871505737 | batch : 900
train_loss : 15.665611267089844 | time : 8.317815780639648 | batch : 1000
train_loss : 15.071525573730469 | time : 8.681522130966187 | batch : 1100
train_loss : 14.401689529418945 | time : 7.680961847305298 | batch : 1200
train_loss : 13.930398941040039 | time : 8.62464690208435 | batch : 1300
train_loss : 13.299951553344727 | time : 7.68137788772583 | batch : 1400
train_loss : 12.70352554321289 | time : 6.890740156173706 | batch : 1500
train_loss : 12.415071487426758 | time : 8.413567781448364 | batch : 1600
train_loss : 11.668802261352539 | time : 8.725415229797363 | batch : 1700
train_loss : 11.37464427947998 | time : 7.754905939102173 | batch : 1800
train_loss : 11.079489707946777 | time : 7.310438871383667 | batch : 1900
train_loss : 10.597354888916016 | time : 8.136724710464478 | batch : 2000
train_loss : 10.289907455444336 | time : 8.53854513168335 | batch : 2100
Train Epoch end... Loss : 3.770860342140284e-05
val_loss : 0.04625551775097847 | time : 11.469367980957031 | batch : 0
val_loss : 0.042348287999629974 | time : 10.965505123138428 | batch : 50
val_loss : 0.04358730837702751 | time : 10.80353832244873 | batch : 100
val_loss : 0.04636009410023689 | time : 10.29500699043274 | batch : 150
val_loss : 0.03713396191596985 | time : 10.233281373977661 | batch : 200
val_loss : 0.04723166674375534 | time : 9.849764823913574 | batch : 250
Validation Epoch end... Loss : 7.625305276667655e-08
