0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.00391 | time : 1278.80 | batch : 0/271
Validation Epoch end... Accuracy : 0.004855752280771815
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.00586 | time : 1312.65 | batch : 0/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.48828 | time : 2057.48 | batch : 100/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.52539 | time : 2801.24 | batch : 200/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.57031 | time : 3537.21 | batch : 300/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.55469 | time : 4269.36 | batch : 400/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.59180 | time : 5000.75 | batch : 500/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.62109 | time : 5735.66 | batch : 600/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.59961 | time : 6470.91 | batch : 700/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.66797 | time : 7203.76 | batch : 800/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.60156 | time : 7931.14 | batch : 900/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.65430 | time : 8659.67 | batch : 1000/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.63672 | time : 9391.53 | batch : 1100/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.67969 | time : 10121.52 | batch : 1200/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.61133 | time : 10851.12 | batch : 1300/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.64453 | time : 11580.91 | batch : 1400/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.64648 | time : 12313.72 | batch : 1500/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.61719 | time : 13044.71 | batch : 1600/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.64062 | time : 13774.25 | batch : 1700/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.69727 | time : 14502.50 | batch : 1800/2172
0 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.66992 | time : 15227.60 | batch : 1900/2172
